"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0084","2026-08-08","2026-08-10","vendor payment","2222.5","USD","0.8663","1925.3517499999998","Shanghai WEIPU Testing Technology Group Co., LTD.","Inspection","","paid","FALSE","4445,00 USD_06.08.2026_Shanghai WEIPU Testing Technology Group Co., LTD..pdf","",""
"TXN-0085","2026-08-10","2026-08-10","vendor payment","6919","USD","0.865","5984.9349999999995","MBS LOGISTICS LTD.","Freight & Customs (incl. taxes)","","paid","FALSE","6919,00 USD_06.08.2026_MBS LOGISTICS LTD.pdf","","PO1-Wave4-Container1 WAE2026071000047"
"TXN-0086","2026-08-12","2026-08-12","vendor payment","6067.07","EUR","","6067.07","An Expeditors International GmbH","Freight & Customs (incl. taxes)","","paid","FALSE","6067,07 EUR_12.08.2026_Expeditors International GmbH.pdf","","PO2-Air-Urgent-Straw"
"TXN-0087","2026-08-12","2026-08-12","vendor payment","6101.42","EUR","","6101.42","An Expeditors International GmbH","Freight & Customs (incl. taxes)","","paid","FALSE","6101,42 EUR_12.08.2026_Expeditors International GmbH.pdf","","PO2-Air-Urgent-Mixer"
"TXN-0088","2026-08-12","2026-08-12","vendor payment","1627.4","EUR","","1627.4","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","166.57 EUR_26.06.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0089","2026-08-12","2026-08-12","vendor payment","732.17","EUR","","732.17","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","3534.78 EUR_26.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd (1).pdf","",""
"TXN-0090","2026-08-12","2026-08-12","vendor payment","876.49","EUR","","876.49","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","1738.82 EUR _26.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd (1).pdf","",""
"TXN-0091","2026-08-12","2026-08-12","vendor payment","737.58","EUR","","737.58","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","639,82 EUR_27.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0092","2026-08-12","2026-08-12","vendor payment","49.63","EUR","","49.63","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","1906.55 EUR_29.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0093","2026-08-12","2026-08-12","vendor payment","700.22","EUR","","700.22","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","458,55 EUR_01.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0094","2026-08-12","2026-08-12","vendor payment","13.7","EUR","","13.7","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","118.97 EUR_02.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0095","2026-08-12","2026-08-12","vendor payment","606.9","EUR","","606.9","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","618.63 EUR_30.06.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0096","2026-08-12","2026-08-12","vendor payment","3674","USD","0.8675","3187.195","Jiangsu Rikang Glass Products Co., Ltd.","Goods","","paid","FALSE","1660.84 EUR_06.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","","PO3 Straw"
"TXN-0097","2026-08-12","2026-08-12","vendor payment","10144","USD","0.8676","8800.9344","Ningbo Xianger New Material Technology Co., Ltd.","Goods","","paid","FALSE","893.26 EUR_07.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0098","2026-08-13","2026-08-13","vendor payment","3857.55","EUR","","3857.55","Deutsche Post AG","Last Mile","","paid","FALSE","613,39 EUR_08.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0099","2026-08-13","2026-08-13","vendor payment","15476.15","EUR","","15476.15","Deutsche Post AG","Last Mile","","paid","FALSE","115.97 EUR_03.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0100","2026-08-13","2026-08-13","vendor payment","142.2","USD","0.8655","123.0741","Xianger New Material Technology Co.","Goods","","paid","FALSE","435.95 EUR_04.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0101","2026-08-20","2026-08-20","vendor payment","345.35","EUR","","345.35","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","603.96 EUR_09.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
